City,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Międzyrzecz,52.4446,15.578,68.23,68.23,59,57,4.7,PL
Mahenge,-8.6833,36.7167,58.91,58.91,83,2,0.87,TZ
Iqaluit,63.7506,-68.5145,50.7,51.53,76,75,11.5,CA
Mizdah,31.4451,12.9801,75.56,75.56,54,2,0.85,LY
Lodeynoye Pole,60.726,33.5531,50.56,50.56,90,13,3.06,RU
Ulaanbaatar,47.9077,106.8832,48.33,48.33,87,0,0.0,MN
San Andrés,12.5847,-81.7006,84.22,84.22,84,40,12.66,CO
Camagüey,21.3808,-77.9169,88.14,88.14,66,40,20.71,CU
Uruçuí,-7.2294,-44.5561,81.59,81.59,48,64,3.27,BR
Hamilton,39.1834,-84.5333,77.07,80.53,73,75,8.05,US
Placerville,38.7296,-120.7986,91.36,96.04,34,0,5.75,US
Chui,-33.6971,-53.4616,49.35,49.35,79,94,5.88,UY
Kjøllefjord,70.9457,27.3465,57.02,57.25,94,100,0.0,NO
Seymchan,62.8833,152.4333,65.89,65.89,55,50,11.92,RU
Sailāna,23.4667,74.9167,73.6,73.6,92,74,10.31,IN
Doha,25.2867,51.5333,93.15,93.51,70,0,8.05,QA
Kafanchan,9.5833,8.3,66.49,66.49,98,84,2.66,NG
Sechura,-5.5569,-80.8222,67.68,67.68,68,8,18.03,PE
Ulladulla,-35.35,150.4667,56.97,56.97,66,71,11.9,AU
San Quintín,30.4833,-115.95,76.17,76.17,60,26,10.27,MX
Ingham,42.6,-84.3833,81.34,83.82,53,40,4.61,US
Oranjemund,-28.55,16.4333,53.47,53.47,57,0,9.62,NA
Mackay,-21.15,149.2,65.68,65.68,79,85,7.31,AU
Camacha,33.0833,-16.3333,67.42,67.42,78,40,9.22,PT
Kibala,9.1104,18.3463,73.35,73.35,94,20,2.3,TD
Mount Gambier,-37.8333,140.7667,46.31,46.31,93,75,12.66,AU
Zdvinsk,54.7021,78.661,60.71,60.71,98,54,10.33,RU
Ruteng,-8.6136,120.4721,62.1,62.1,87,93,1.63,ID
Ucluelet,48.9329,-125.5528,68.09,71.91,81,12,1.99,CA
Anjiang,27.3194,110.1031,76.14,76.14,88,10,2.13,CN
Athabasca,54.7169,-113.2854,66.61,66.61,52,72,3.44,CA
Preston,53.7667,-2.7167,54.3,57.85,89,55,3.29,GB
Llandrindod Wells,52.2416,-3.3787,56.37,56.37,89,75,2.24,GB
Henties Bay,-22.116,14.2845,53.53,53.53,76,72,2.51,NA
Quryq,43.2,51.65,81.0,81.0,39,0,7.9,KZ
Faanui,-16.4833,-151.75,78.75,78.75,71,13,26.6,PF
Khani,41.9563,42.9566,63.97,63.97,81,38,4.52,GE
Saint George,37.1041,-113.5841,90.68,91.99,40,0,17.27,US
Canberra,-35.2835,149.1281,45.88,47.44,90,100,13.8,AU
Bembèrèkè,10.2283,2.6634,70.41,70.41,94,97,4.45,BJ
Kidal,18.4411,1.4078,96.71,96.71,17,69,6.33,ML
Gravdal,68.1214,13.5031,54.41,54.41,95,69,7.67,NO
Imbituba,-28.24,-48.6703,62.1,62.1,86,23,5.99,BR
Tadó,5.266,-76.5649,80.42,80.42,95,99,3.49,CO
Hasaki,35.7333,140.8333,84.6,84.6,79,97,1.48,JP
Neath,51.6632,-3.8044,58.78,63.45,82,48,5.82,GB
Dzaoudzi,-12.7887,45.2699,71.49,71.49,94,0,2.3,YT
Luanda,-8.8368,13.2343,68.0,68.0,94,20,9.22,AO
Ozernovskiy,51.5,156.5167,55.02,55.02,85,73,4.36,RU
Chegdomyn,51.1167,133.0167,70.9,70.9,93,99,1.7,RU
Kuldīga,56.974,21.9572,53.29,53.29,83,100,5.32,LV
Puerto Carreño,6.189,-67.4859,78.78,78.78,89,40,2.3,CO
Aquiraz,-3.9014,-38.3911,78.89,80.19,86,9,10.54,BR
Neftegorsk,52.802,51.166,63.14,63.14,81,81,5.08,RU
Caravelas,-17.7125,-39.2481,69.98,69.98,91,80,7.96,BR
Sibolga,1.7427,98.7792,75.74,75.74,87,100,3.36,ID
Ouésso,1.6136,16.0517,72.43,72.43,82,98,2.75,CG
Marsh Harbour,26.5412,-77.0636,83.73,83.73,69,55,12.26,BS
City of San Pedro,14.35,121.0167,76.69,78.35,94,20,1.14,PH
Mâncio Lima,-7.6142,-72.8958,84.27,84.27,79,40,3.44,BR
Zavoronezhskoye,52.8801,40.5526,60.15,60.15,62,75,6.2,RU
Câmara de Lobos,32.6333,-16.9667,71.15,72.23,84,20,12.66,PT
Craig,40.5153,-107.5464,81.43,85.62,34,0,20.71,US
Beloha,-25.1667,45.05,64.22,64.22,93,6,2.93,MG
Alice Springs,-23.7,133.8833,44.15,44.15,65,2,6.91,AU
Charalá,6.2858,-73.1472,67.95,67.95,93,94,0.92,CO
Imeni Poliny Osipenko,52.4201,136.4853,71.49,71.49,77,46,8.3,RU
Lethem,3.3803,-59.7968,76.78,76.78,87,55,5.03,GY
Oshikango,-17.4,15.8833,54.59,54.59,33,3,7.11,NA
Mercedes,-34.6515,-59.4307,56.82,57.63,69,1,6.22,AR
Codrington,-38.2667,141.9667,46.08,46.08,91,33,16.2,AU
Impfondo,1.6381,18.0667,71.92,71.92,76,78,1.19,CG
Mahébourg,-20.4081,57.7,70.09,70.25,73,75,11.5,MU
Anaconda,46.1285,-112.9423,92.39,92.39,12,9,14.12,US
Port-Cartier,50.0334,-66.8654,76.03,78.48,80,69,3.62,CA
Hīt,33.6416,42.8251,95.11,95.11,14,3,9.55,IQ
Constitución,-35.3333,-72.4167,49.84,49.84,90,71,4.76,CL
Cherskiy,68.75,161.3,67.95,67.95,41,17,19.24,RU
Laas,46.6166,10.7002,65.66,67.08,88,3,4.65,IT
Kyzyl-Suu,42.3414,78.0056,57.2,57.2,73,90,3.4,KG
Am Timan,11.0297,20.2827,71.91,71.91,94,100,5.37,TD
Bac Lieu,9.285,105.7244,79.88,79.88,88,100,8.34,VN
Illela,13.7292,5.2975,76.93,76.93,72,62,9.17,NG
Shahrud,36.4182,54.9763,70.63,70.63,50,21,5.59,IR
Butwāl,27.7006,83.4484,77.29,77.29,93,73,1.77,NP
Alihe,50.5667,123.7167,65.89,65.89,91,46,1.92,CN
Mananjary,-21.2167,48.3333,64.76,64.76,93,7,4.59,MG
Kieta,-6.2167,155.6333,83.21,83.21,75,21,5.84,PG
Port-Gentil,-0.7193,8.7815,74.98,74.98,85,7,14.25,GA
Ust'-Ishim,57.6935,71.1665,55.13,55.13,79,82,7.58,RU
Xinqing,48.2333,129.5,75.45,75.45,86,8,3.36,CN
Adrar,20.5022,-10.0711,95.81,95.81,29,3,10.09,MR
Saint Lawrence,36.0553,14.204,80.85,80.85,86,0,1.01,MT
Eganville,45.5334,-77.0994,81.52,81.52,55,58,11.03,CA
Safford,32.834,-109.7076,92.32,95.11,35,0,4.61,US
Tura,25.5198,90.2201,73.65,73.65,99,100,5.75,IN
Khorramabad,33.4878,48.3558,82.02,82.02,47,0,0.0,IR
Tall Kayf,37.0833,41.0667,86.7,86.7,23,0,6.35,TR
Puerto Escondido,15.85,-97.0667,88.63,88.63,62,40,9.22,MX
Polunochnoye,60.8697,60.4153,54.86,54.86,78,100,4.41,RU
Puerto Maldonado,-12.6,-69.1833,74.34,74.34,73,7,3.53,PE
Ansermanuevo,4.7972,-75.995,77.77,81.77,91,95,5.19,CO
Vicuña,-30.0319,-70.7081,68.77,68.77,58,81,0.78,CL
Saquarema,-22.92,-42.5103,66.24,66.24,70,0,6.93,BR
Gonder,12.6,37.4667,56.41,56.41,94,70,3.8,ET
Aklavik,68.2191,-135.0107,66.02,66.02,46,90,1.66,CA
Chesma,53.8111,60.6533,58.12,58.12,85,23,5.19,RU
Sompeta,18.9333,84.6,82.45,82.45,83,100,8.97,IN
Joppatowne,39.4579,-76.3552,73.04,76.69,91,100,6.91,US
Kununurra,-15.7667,128.7333,57.18,57.18,77,96,4.61,AU
Vaitape,-16.5167,-151.75,78.78,78.78,71,11,25.97,PF
Canutama,-6.5339,-64.3831,84.87,84.87,49,81,3.09,BR
Santa Cruz de Tenerife,28.4682,-16.2546,71.35,80.58,91,75,15.01,ES
Hrodna,53.6884,23.8258,61.2,61.2,99,100,7.56,BY
La Roda,39.2167,-2.15,77.47,79.9,64,27,13.47,ES
Gīdolē,5.65,37.3667,59.31,59.31,65,95,4.88,ET
Mizque,-17.941,-65.3402,63.61,63.61,67,0,5.79,BO
Bowen,-20.0167,148.2333,68.05,68.05,76,69,13.82,AU
Nara,34.6851,135.8049,85.84,86.97,57,64,0.65,JP
Marzuq,14.4,46.4667,78.73,78.73,58,2,15.08,YE
Perth,-31.9333,115.8333,51.39,53.73,91,75,16.11,AU
Kayerkan,69.3497,87.7602,42.53,42.53,100,21,20.56,RU
Makakilo City,21.3469,-158.0858,82.04,82.72,51,75,16.11,US
Olafsvik,64.8945,-23.7142,48.11,48.11,65,100,10.13,IS
Bijie,27.3125,105.2942,62.55,62.55,96,99,4.81,CN
Hirara,24.8,125.2833,79.07,80.46,94,75,8.05,JP
Panzhihua,26.5851,101.7128,68.72,68.72,92,100,0.43,CN
Catuday,16.2923,119.8062,80.31,80.31,78,100,13.18,PH
Port Macquarie,-31.4333,152.9167,58.89,58.89,70,100,10.63,AU
Ixtlahuacán del Río,20.8667,-103.25,76.86,76.86,50,100,2.35,MX
Cloquet,46.7216,-92.4594,78.62,81.28,65,83,3.44,US
Gorontalo,0.5412,123.0595,75.94,75.94,94,99,1.83,ID
Yulara,-25.2406,130.9889,49.86,49.86,42,39,9.42,AU
Bartica,6.4,-58.6167,84.52,84.52,96,66,3.36,GY
Waipawa,-41.4122,175.5153,47.19,47.19,70,3,2.37,NZ
Cayey,18.1119,-66.166,80.15,81.97,76,7,3.0,PR
Boden,65.8252,21.6886,59.0,59.0,94,93,3.4,SE
Skjervøy,70.0311,20.9714,59.0,59.0,74,100,2.82,NO
Shōbara,34.85,133.0167,81.45,81.45,76,33,6.55,JP
Najrān,17.4924,44.1277,84.85,84.85,55,43,5.41,SA
Imbituva,-25.23,-50.6044,53.74,53.74,71,0,0.74,BR
Fernie,49.5,-115.0687,93.88,93.88,11,0,9.75,CA
Gisborne,-38.6533,178.0042,53.15,53.15,48,0,5.23,NZ
Tighina,46.8306,29.4711,66.97,66.97,82,100,6.69,MD
Vao,-22.6667,167.4833,69.06,69.06,77,100,26.08,NC
Sindor,62.8629,51.8905,59.27,59.27,99,100,4.81,RU
Ngama,11.7833,17.1667,77.79,77.79,77,99,7.49,TD
High Rock,26.6208,-78.2833,87.82,87.82,70,76,11.99,BS
Daru,-9.0763,143.2092,78.37,78.37,90,63,10.76,PG
Nizwá,22.9333,57.5333,83.75,83.75,63,86,2.95,OM
Christchurch,-43.5333,172.6333,43.7,48.42,71,0,2.3,NZ
Sidi Ali,36.0998,0.4206,75.83,75.83,83,0,5.26,DZ
Kankan,10.3854,-9.3057,72.75,72.75,93,86,2.26,GN
Yar-Sale,66.8333,70.8333,46.69,46.69,80,14,7.07,RU
Samarai,-10.6167,150.6667,80.76,80.76,80,61,11.72,PG
Nuuk,64.1835,-51.7216,48.81,48.81,76,20,11.5,GL
Chino Valley,34.7575,-112.4538,79.59,86.52,57,100,16.11,US
Mnogovershinnyy,53.9353,139.9242,67.5,67.5,71,37,5.75,RU
Manhattan,40.7834,-73.9662,80.06,84.42,60,0,13.8,US
Paidha,2.4167,30.9855,60.22,60.22,92,99,4.12,UG
Yelniki,54.6207,43.876,56.39,56.39,68,49,5.1,RU
Wamba,8.9333,8.6,70.38,70.38,96,65,1.45,NG
Udachny,66.4167,112.4,59.45,59.45,87,100,16.78,RU
Pryazha,61.6926,33.6216,50.25,51.03,86,66,3.2,RU
Ust-Tsilma,65.441,52.1498,60.08,60.08,91,100,6.91,RU
Coahuayana Viejo,18.7333,-103.6833,88.2,88.2,60,64,5.88,MX
Blythe,33.6103,-114.5964,106.25,106.25,17,20,17.27,US
Dingle,10.9995,122.6711,78.01,78.01,84,100,1.63,PH
Dakar,14.6937,-17.4441,80.73,80.73,89,40,13.8,SN
Lázaro Cárdenas,17.9583,-102.2,86.4,86.4,63,65,11.99,MX
Lakatoro,-16.0999,167.4164,80.46,80.46,75,38,10.71,VU
Shouguang,36.88,118.7375,78.91,78.91,90,8,3.76,CN
Nur-Sultan,51.1801,71.446,60.75,60.75,94,0,6.71,KZ
Brunswick,41.2381,-81.8418,79.88,83.14,54,40,5.75,US
Muros,42.7762,-9.0603,70.68,70.68,79,1,11.3,ES
Sampit,-2.5333,112.95,73.13,73.13,96,100,2.13,ID
Batagay-Alyta,67.8006,130.4114,71.64,71.64,53,100,8.08,RU
Anito,12.4497,125.2886,79.45,79.45,88,100,6.15,PH
